team,matches,pressures,interceptions,tackles,defensive_actions,opponent_passes,ppda
Spain,4,445,37,58,540,1239,2.29
Mexico,3,382,39,56,477,1251,2.62
Ecuador,3,417,32,53,502,1331,2.65
Germany,3,384,33,55,472,1331,2.82
Argentina,7,980,70,134,1184,3413,2.88
Netherlands,5,730,51,88,869,2637,3.03
Saudi Arabia,3,393,41,52,486,1471,3.03
Denmark,3,336,33,51,420,1307,3.11
England,5,485,46,66,597,1874,3.14
United States,4,537,40,51,628,1979,3.15
Portugal,5,530,30,69,629,2018,3.21
Canada,3,380,32,35,447,1434,3.21
Croatia,7,949,85,138,1172,3816,3.26
France,7,905,95,140,1140,3753,3.29
Serbia,3,360,25,51,436,1458,3.34
Uruguay,3,374,36,58,468,1582,3.38
Ghana,3,412,27,67,506,1739,3.44
Senegal,4,512,31,49,592,2034,3.44
Cameroon,3,403,46,37,486,1678,3.45
Brazil,5,605,42,97,744,2584,3.47
Iran,3,452,47,51,550,1922,3.49
South Korea,4,515,47,59,621,2170,3.49
Morocco,7,1085,89,137,1311,4665,3.56
Tunisia,3,361,33,72,466,1711,3.67
Wales,3,354,24,47,425,1603,3.77
Belgium,3,309,23,48,380,1436,3.78
Japan,4,692,51,66,809,3185,3.94
Switzerland,4,444,43,55,542,2139,3.95
Australia,4,549,42,63,654,2754,4.21
Qatar,3,375,27,45,447,1898,4.25
Costa Rica,3,435,36,71,542,2475,4.57
Poland,4,463,38,66,567,2628,4.63
