team,shots_faced,xg_conceded,avg_xg_per_shot_conceded,att_third_pct,ppda
Tunisia,30,2.4,0.08,19.9,3.67
Denmark,42,3.46,0.0824,32.7,3.11
England,43,3.99,0.0928,29.9,3.14
Belgium,43,4.23,0.0984,18.1,3.78
Poland,68,6.7,0.0985,19.9,4.63
Australia,65,6.44,0.0991,23.0,4.21
Uruguay,31,3.1,0.1,20.9,3.38
Switzerland,48,5.01,0.1044,26.1,3.95
Ecuador,20,2.12,0.106,24.7,2.65
Iran,35,3.77,0.1077,20.8,3.49
Wales,45,4.97,0.1104,24.0,3.77
Portugal,51,5.64,0.1106,34.2,3.21
Senegal,37,4.11,0.1111,21.9,3.44
Germany,26,2.92,0.1123,43.8,2.82
Ghana,44,5.1,0.1159,17.7,3.44
Mexico,21,2.54,0.121,20.2,2.62
South Korea,48,5.83,0.1215,28.0,3.49
Qatar,31,3.77,0.1216,16.0,4.25
Morocco,73,9.03,0.1237,17.3,3.56
Japan,63,7.81,0.124,22.8,3.94
Brazil,39,4.95,0.1269,29.6,3.47
Canada,29,3.71,0.1279,31.6,3.21
Costa Rica,61,7.85,0.1287,9.9,4.57
Cameroon,43,5.54,0.1288,24.3,3.45
Saudi Arabia,50,6.55,0.131,18.6,3.03
Netherlands,72,10.0,0.1389,22.5,3.03
United States,30,4.26,0.142,24.4,3.15
Serbia,50,7.3,0.146,23.6,3.34
France,84,12.58,0.1498,19.9,3.29
Croatia,91,15.04,0.1653,25.6,3.26
Argentina,54,11.29,0.2091,22.6,2.88
Spain,27,6.01,0.2226,37.8,2.29
